Event,Customer_IP,Event_Time,Product_ID,Quantity,Collection_Name,Search_Term,Time_On_Page,Product_Name,session
Home,102.215.57.178,2024-10-21 13:26:11.377000+00:00,,,,,3.864,,1
Product,104.28.34.75,2024-12-01 14:08:43.132000+00:00,14753422180701.0,,,,0.094,the ultimate 7,1
Product,104.28.34.75,2024-12-01 15:04:19.369000+00:00,10000235364701.0,,,,11.725,mistletoe christmas gift box,1
Product,104.28.34.75,2024-12-01 15:04:21.371000+00:00,10000235364701.0,,,,2.25,mistletoe christmas gift box,1
Product,104.28.34.75,2024-12-01 15:04:23.100000+00:00,10000235364701.0,,,,1.709,mistletoe christmas gift box,1
Product,104.28.34.75,2024-12-01 15:04:25.940000+00:00,10000235364701.0,,,,2.844,mistletoe christmas gift box,1
Product,104.28.34.75,2024-12-01 15:04:28.499000+00:00,10000235364701.0,,,,2.548,mistletoe christmas gift box,1
Product,104.28.34.75,2024-12-01 15:04:29.877000+00:00,10000235364701.0,,,,1.382,mistletoe christmas gift box,1
Product,104.28.34.75,2024-12-01 15:04:32.063000+00:00,10000235364701.0,,,,2.2,mistletoe christmas gift box,1
Product,104.28.34.75,2024-12-01 15:04:35.212000+00:00,10000235364701.0,,,,3.16,mistletoe christmas gift box,1
Product,104.28.34.75,2024-12-01 15:04:36.587000+00:00,10000235364701.0,,,,1.359,mistletoe christmas gift box,1
Product,104.28.34.75,2024-12-01 15:04:37.980000+00:00,10000235364701.0,,,,1.368,mistletoe christmas gift box,1
Product,104.28.34.75,2024-12-01 15:04:39.885000+00:00,10000235364701.0,,,,1.937,mistletoe christmas gift box,1
Product,104.28.34.75,2024-12-01 15:04:44.650000+00:00,10000235364701.0,,,,4.76,mistletoe christmas gift box,1
Product,104.28.34.75,2024-12-01 15:04:47.579000+00:00,10000235364701.0,,,,2.858,mistletoe christmas gift box,1
Product,104.28.34.75,2024-12-01 15:04:50.460000+00:00,10000235364701.0,,,,2.927,mistletoe christmas gift box,1
Product,104.28.34.75,2024-12-01 15:04:55.242000+00:00,10000235364701.0,,,,4.805,mistletoe christmas gift box,1
Product,104.28.34.75,2024-12-01 15:04:57.017000+00:00,10000235364701.0,,,,1.729,mistletoe christmas gift box,1
Product,104.28.34.75,2024-12-01 15:04:58.317000+00:00,10000235364701.0,,,,1.341,mistletoe christmas gift box,1
Product,104.28.34.75,2024-12-01 15:05:00.816000+00:00,10000235364701.0,,,,2.492,mistletoe christmas gift box,1
Product,104.28.34.75,2024-12-01 15:05:01.547000+00:00,10000235364701.0,,,,0.744,mistletoe christmas gift box,1
Product,122.106.7.176,2024-12-12 03:57:35.148000+00:00,9747162923357.0,,,,15.002,stellar memories style 6,1
Home,141.8.100.252,2024-12-14 09:41:52.875000+00:00,,,,,2.253,,1
Home,141.8.100.40,2024-12-02 07:08:55.614000+00:00,,,,,24.437,,1
Collection,141.8.100.40,2024-12-02 07:10:15.895000+00:00,,,jewellery,,78.699,,1
Collection,141.8.100.40,2024-12-02 07:10:31.268000+00:00,,,stellar-memories,,14.064,,1
Collection,141.8.104.100,2024-12-09 10:23:37.377000+00:00,,,christmas-collection-24-25,,57.179,,1
Collection,141.8.104.100,2024-12-09 10:24:11.366000+00:00,,,black-friday,,32.769,,1
Collection,141.8.104.100,2024-12-09 10:24:28.294000+00:00,,,throws,,15.814,,1
Collection,141.8.104.100,2024-12-09 10:25:01.926000+00:00,,,throws,,33.782,,1
Collection,141.8.104.100,2024-12-09 10:25:29.474000+00:00,,,scarves-1,,26.242,,1
Collection,141.8.104.100,2024-12-09 10:27:19.913000+00:00,,,clothing,,15.114,,1
Collection,141.8.104.100,2024-12-09 10:27:44.786000+00:00,,,o-my-bag,,23.878,,1
Collection,141.8.104.100,2024-12-09 10:28:18.828000+00:00,,,roundies,,33.089,,1
Collection,141.8.104.100,2024-12-09 10:28:46.186000+00:00,,,experiences,,26.27,,1
Collection,141.8.104.100,2024-12-09 10:29:36.978000+00:00,,,christmas-collection-24-25,,4.904,,1
Search,141.8.104.100,2024-12-23 10:13:37.178000+00:00,,,,throws,33.348,,2
Home,141.8.104.100,2025-01-04 13:10:43.834000+00:00,,,,,13.338,,3
Collection,141.8.104.100,2025-01-04 13:10:55.944000+00:00,,,throws,,11.076,,3
Home,141.8.106.236,2024-12-09 22:03:34.181000+00:00,,,,,13.835,,1
Collection,141.8.110.153,2024-12-01 10:06:47.362000+00:00,,,gifts-under-50,,48.037,,1
Collection,141.8.110.153,2024-12-01 10:06:57.397000+00:00,,,black-friday,,8.763,,1
Collection,141.8.110.153,2024-12-01 10:07:13.570000+00:00,,,scarves-1,,14.957,,1
Collection,141.8.110.153,2024-12-01 10:07:47.530000+00:00,,,o-my-bag,,14.742,,1
Collection,141.8.110.153,2024-12-01 10:08:15.950000+00:00,,,throws,,20.913,,1
Collection,141.8.110.153,2024-12-01 10:09:34.351000+00:00,,,pre-packed-gift-boxes,,33.828,,1
Collection,141.8.110.153,2024-12-01 10:11:10.288000+00:00,,,black-friday,,68.275,,1
Product,141.8.110.153,2024-12-01 10:11:47.593000+00:00,14767151710557.0,,,,88.265,christmas celebration gift,1
Product,141.8.110.153,2024-12-01 10:11:49.271000+00:00,14767151710557.0,,,,2.087,christmas celebration gift,1
Product,141.8.110.153,2024-12-01 10:11:50.959000+00:00,14767151710557.0,,,,1.692,christmas celebration gift,1
Product,141.8.110.153,2024-12-01 10:12:02.997000+00:00,9994002334045.0,,,,70.006,festive joy 1,1
Product,141.8.110.153,2024-12-01 10:12:04.528000+00:00,9994002334045.0,,,,1.722,festive joy 1,1
Product,141.8.110.153,2024-12-01 10:12:05.525000+00:00,9994002334045.0,,,,0.988,festive joy 1,1
Product,141.8.110.153,2024-12-01 10:12:44.921000+00:00,14767591260509.0,,,,104.714,holly jolly christmas gift,1
Product,141.8.110.153,2024-12-01 10:12:46.602000+00:00,14767591260509.0,,,,1.888,holly jolly christmas gift,1
Product,141.8.110.153,2024-12-01 10:12:53.039000+00:00,14767591260509.0,,,,6.407,holly jolly christmas gift,1
Product,141.8.110.153,2024-12-01 10:12:54.922000+00:00,14767591260509.0,,,,1.914,holly jolly christmas gift,1
Product,141.8.110.153,2024-12-01 10:14:23.998000+00:00,14767151710557.0,,,,153.025,christmas celebration gift,1
Product,141.8.110.153,2024-12-01 10:14:25.614000+00:00,14767151710557.0,,,,1.591,christmas celebration gift,1
Product,141.8.110.153,2024-12-01 10:14:27.859000+00:00,14767151710557.0,,,,2.27,christmas celebration gift,1
Product,141.8.110.153,2024-12-01 10:14:30.123000+00:00,14767151710557.0,,,,2.274,christmas celebration gift,1
Product,141.8.110.153,2024-12-01 10:14:35.269000+00:00,14767591260509.0,,,,100.345,holly jolly christmas gift,1
